iter	Passed	Remaining
0	36	50693
1	52	36684
2	68	32080
3	86	30277
4	104	29168
5	123	28919
6	142	28440
7	161	28217
8	180	28034
9	198	27725
10	213	27123
11	229	26665
12	246	26465
13	264	26324
14	281	26123
15	303	26333
16	322	26387
17	343	26463
18	362	26426
19	379	26265
20	398	26310
21	415	26139
22	433	26043
23	452	26048
24	469	25934
25	487	25887
26	506	25844
27	521	25681
28	537	25518
29	553	25385
30	571	25339
31	587	25207
32	603	25101
33	620	25021
34	638	25023
35	655	24943
36	671	24827
37	687	24753
38	704	24693
39	722	24659
40	738	24592
41	757	24602
42	776	24625
43	794	24608
44	813	24614
45	830	24562
46	848	24526
47	867	24554
48	884	24483
49	901	24438
50	917	24384
51	935	24354
52	954	24373
53	972	24339
54	989	24294
55	1005	24238
56	1021	24166
57	1037	24113
58	1054	24065
59	1072	24063
60	1088	24008
61	1103	23917
62	1122	23934
63	1139	23886
64	1155	23831
65	1171	23777
66	1188	23754
67	1205	23721
68	1222	23696
69	1239	23666
70	1255	23614
71	1272	23585
72	1289	23547
73	1308	23560
74	1332	23655
75	1365	23895
76	1384	23889
77	1412	24047
78	1430	24030
79	1455	24118
80	1476	24144
81	1503	24271
82	1522	24274
83	1545	24329
84	1563	24301
85	1580	24258
86	1603	24308
87	1619	24252
88	1637	24226
89	1656	24223
90	1672	24173
91	1693	24186
92	1708	24119
93	1724	24075
94	1745	24085
95	1764	24081
96	1781	24041
97	1804	24078
98	1825	24098
99	1850	24163
100	1868	24136
101	1884	24090
102	1908	24148
103	1927	24130
104	1964	24346
105	1983	24325
106	2006	24358
107	2024	24325
108	2049	24388
109	2069	24388
110	2090	24390
111	2109	24369
112	2128	24354
113	2151	24384
114	2169	24350
115	2190	24356
116	2205	24296
117	2223	24270
118	2247	24309
119	2263	24262
120	2281	24232
121	2303	24247
122	2320	24205
123	2344	24240
124	2362	24213
125	2382	24200
126	2402	24195
127	2420	24166
128	2441	24171
129	2457	24119
130	2474	24081
131	2494	24078
132	2512	24049
133	2531	24034
134	2551	24020
135	2567	23975
136	2588	23977
137	2603	23923
138	2619	23876
139	2640	23879
140	2657	23842
141	2674	23809
142	2698	23829
143	2716	23809
144	2747	23894
145	2768	23889
146	2797	23959
147	2815	23933
148	2834	23910
149	2853	23896
150	2873	23880
151	2894	23881
152	2910	23833
153	2931	23834
154	2949	23806
155	2971	23808
156	2993	23812
157	3013	23800
158	3032	23785
159	3050	23754
160	3069	23736
161	3086	23702
162	3102	23659
163	3118	23619
164	3135	23581
165	3151	23542
166	3165	23487
167	3184	23469
168	3201	23430
169	3216	23388
170	3232	23347
171	3249	23311
172	3264	23265
173	3281	23233
174	3297	23198
175	3320	23204
176	3339	23187
177	3356	23154
178	3373	23126
179	3389	23088
180	3405	23050
181	3426	23046
182	3442	23004
183	3457	22964
184	3473	22924
185	3492	22906
186	3507	22867
187	3524	22834
188	3543	22814
189	3558	22777
190	3575	22743
191	3599	22756
192	3615	22724
193	3631	22688
194	3649	22661
195	3667	22640
196	3687	22628
197	3706	22615
198	3727	22606
199	3744	22580
200	3762	22558
201	3780	22534
202	3801	22526
203	3819	22506
204	3838	22487
205	3855	22461
206	3873	22437
207	3890	22406
208	3906	22375
209	3925	22356
210	3942	22328
211	3960	22303
212	3977	22277
213	3994	22249
214	4009	22210
215	4025	22179
216	4041	22142
217	4058	22116
218	4074	22085
219	4090	22048
220	4106	22021
221	4125	22002
222	4141	21968
223	4156	21932
224	4172	21900
225	4187	21866
226	4208	21855
227	4225	21831
228	4244	21815
229	4263	21800
230	4284	21793
231	4301	21768
232	4319	21744
233	4335	21712
234	4351	21682
235	4368	21657
236	4385	21630
237	4401	21598
238	4418	21576
239	4436	21551
240	4453	21530
241	4470	21504
242	4486	21473
243	4504	21450
244	4520	21422
245	4538	21401
246	4554	21372
247	4570	21340
248	4586	21313
249	4604	21291
250	4619	21258
251	4635	21225
252	4652	21201
253	4668	21171
254	4683	21141
255	4699	21108
256	4715	21080
257	4731	21054
258	4748	21027
259	4766	21010
260	4784	20990
261	4801	20963
262	4818	20939
263	4836	20921
264	4852	20894
265	4867	20860
266	4883	20830
267	4898	20801
268	4916	20781
269	4932	20753
270	4949	20730
271	4965	20703
272	4982	20676
273	4999	20655
274	5015	20628
275	5031	20601
276	5049	20581
277	5066	20556
278	5086	20545
279	5101	20516
280	5117	20488
281	5133	20459
282	5150	20436
283	5166	20410
284	5183	20389
285	5199	20363
286	5216	20340
287	5234	20321
288	5252	20302
289	5269	20277
290	5284	20246
291	5299	20216
292	5315	20193
293	5332	20169
294	5349	20145
295	5366	20125
296	5386	20113
297	5408	20109
298	5427	20092
299	5445	20073
300	5462	20051
301	5481	20038
302	5498	20014
303	5515	19995
304	5534	19978
305	5551	19956
306	5570	19942
307	5586	19915
308	5603	19893
309	5620	19870
310	5637	19849
311	5654	19826
312	5670	19801
313	5688	19782
314	5704	19756
315	5722	19739
316	5742	19728
317	5759	19704
318	5775	19678
319	5794	19665
320	5813	19649
321	5828	19622
322	5844	19597
323	5861	19573
324	5877	19549
325	5895	19530
326	5910	19504
327	5930	19490
328	5948	19472
329	5966	19453
330	5986	19443
331	6004	19425
332	6025	19415
333	6042	19395
334	6061	19379
335	6082	19370
336	6101	19353
337	6118	19334
338	6134	19308
339	6151	19287
340	6168	19263
341	6184	19241
342	6202	19222
343	6218	19197
344	6235	19177
345	6252	19156
346	6268	19129
347	6286	19110
348	6301	19085
349	6321	19072
350	6343	19066
351	6362	19052
352	6379	19029
353	6397	19011
354	6416	18997
355	6435	18980
356	6452	18958
357	6468	18935
358	6484	18910
359	6501	18889
360	6516	18864
361	6532	18840
362	6549	18819
363	6569	18804
364	6585	18782
365	6600	18756
366	6618	18738
367	6635	18717
368	6653	18699
369	6671	18679
370	6688	18659
371	6705	18638
372	6723	18620
373	6740	18600
374	6759	18584
375	6775	18561
376	6792	18540
377	6808	18517
378	6825	18496
